seconds,region,resource_energy,harvested,mature,cells,mean_body,lineages,motors,sensors
1410,1,0,0,10,41,4.1,1,21,10
1410,2,0,0,1,4,4,1,2,1
1410,3,0,0,14,56,4,1,28,14
1440,0,0,0,6,25,4.16667,1,13,6
1440,1,0,0,7,28,4,1,14,7
1440,2,0,0,3,13,4.33333,1,6,3
1440,3,0,0,11,49,4.45455,2,24,12
1470,0,0,0,9,36,4,1,18,9
1470,1,0,0,13,52,4,1,26,13
1470,2,0,0,4,21,5.25,2,9,5
1470,3,0,0,9,35,3.88889,1,17,9
1500,0,0,0,8,33,4.125,1,17,8
1500,1,0,0,8,32,4,1,16,8
1500,2,0,0,3,17,5.66667,2,8,4
1500,3,0,0,9,36,4,1,18,9
1530,0,0,0,7,28,4,2,14,7
1530,1,0,0,8,33,4.125,2,17,8
1530,2,0,0,1,4,4,1,2,1
1530,3,0,0,6,24,4,1,12,6
1560,0,0,0,9,36,4,1,18,9
1560,1,0,0,11,44,4,1,22,11
1560,2,0,0,4,17,4.25,2,8,4
1560,3,0,0,10,41,4.1,2,21,10
1590,0,0,0,13,53,4.07692,2,26,13
1590,1,0,0,7,28,4,1,14,7
1590,2,0,0,7,27,3.85714,1,13,7
1590,3,0,0,10,40,4,2,19,10
1620,0,0,0,11,44,4,1,22,11
1620,1,0,0,8,32,4,1,16,8
1620,2,0,0,8,32,4,1,16,7
1620,3,0,0,9,37,4.11111,2,18,9
1650,0,0,0,11,44,4,1,22,11
1650,1,0,0,9,37,4.11111,2,18,9
1650,2,0,0,9,36,4,1,18,9
1650,3,0,0,2,8,4,1,4,2
1680,0,0,0,8,31,3.875,1,15,8
1680,1,0,0,8,32,4,1,16,8
1680,2,0,0,4,16,4,1,8,4
1680,3,0,0,1,4,4,1,2,1
1710,0,0,0,8,31,3.875,1,15,8
1710,1,0,0,5,20,4,1,10,5
1710,2,0,0,7,29,4.14286,2,14,7
1710,3,0,0,12,48,4,1,24,12
1740,0,0,0,7,29,4.14286,1,15,7
1740,1,0,0,9,35,3.88889,1,17,9
1740,2,0,0,8,29,3.625,1,14,7
1740,3,0,0,10,40,4,1,20,10
1770,0,0,0,11,44,4,1,22,11
1770,1,0,0,7,28,4,1,13,7
1770,2,0,0,7,28,4,1,14,7
1770,3,0,0,12,47,3.91667,1,23,12
1799.99,0,0,0,8,32,4,1,16,7
1799.99,1,0,0,8,32,4,1,15,6
1799.99,2,0,0,10,40,4,1,20,10
1799.99,3,0,0,9,36,4,1,18,9
