seconds,region,resource_energy,harvested,mature,cells,mean_body,lineages,motors,sensors
1380,3,0,0,6,26,4.33333,2,13,6
1410,0,0,0,8,31,3.875,1,15,8
1410,1,0,0,9,33,3.66667,1,16,8
1410,2,0,0,7,27,3.85714,1,13,7
1410,3,0,0,6,24,4,1,12,6
1440,0,0,0,5,19,3.8,1,9,5
1440,1,0,0,8,32,4,1,16,8
1440,2,0,0,6,21,3.5,1,9,6
1440,3,0,0,9,36,4,1,18,9
1470,0,0,0,13,54,4.15385,3,27,13
1470,1,0,0,7,28,4,1,14,7
1470,2,0,0,8,27,3.375,1,11,8
1470,3,0,0,4,16,4,1,8,4
1500,0,0,0,10,41,4.1,2,20,10
1500,1,0,0,8,33,4.125,3,16,8
1500,2,0,0,6,20,3.33333,1,8,6
1500,3,0,0,9,38,4.22222,2,18,9
1530,0,0,0,8,34,4.25,2,16,8
1530,1,0,0,10,43,4.3,2,20,10
1530,2,0,0,8,28,3.5,1,12,7
1530,3,0,0,8,34,4.25,2,16,8
1560,0,0,0,11,46,4.18182,2,22,11
1560,1,0,0,7,31,4.42857,2,14,7
1560,2,0,0,12,41,3.41667,2,18,10
1560,3,0,0,8,33,4.125,3,15,8
1590,0,0,0,12,51,4.25,2,24,12
1590,1,0,0,8,35,4.375,2,16,8
1590,2,0,0,7,24,3.42857,2,11,6
1590,3,0,0,11,46,4.18182,3,22,11
1620,0,0,0,9,34,3.77778,2,16,8
1620,1,0,0,10,43,4.3,2,20,10
1620,2,0,0,4,16,4,1,8,4
1620,3,0,0,10,43,4.3,2,21,10
1650,0,0,0,7,26,3.71429,2,12,6
1650,1,0,0,13,54,4.15385,3,26,13
1650,2,0,0,8,32,4,1,16,8
1650,3,0,0,4,17,4.25,2,8,4
1680,0,0,0,13,52,4,1,26,13
1680,1,0,0,5,21,4.2,2,10,5
1680,2,0,0,4,16,4,1,8,4
1680,3,0,0,11,43,3.90909,2,21,11
1710,0,0,0,5,21,4.2,2,11,5
1710,1,0,0,11,45,4.09091,2,22,11
1710,2,0,0,7,28,4,1,14,7
1710,3,0,0,16,63,3.9375,2,31,16
1740,0,0,0,11,43,3.90909,2,21,10
1740,1,0,0,8,33,4.125,2,16,8
1740,2,0,0,6,23,3.83333,2,12,5
1740,3,0,0,9,34,3.77778,2,15,9
1770,0,0,0,10,40,4,1,20,9
1770,1,0,0,6,25,4.16667,2,12,6
1770,2,0,0,6,23,3.83333,2,12,4
1770,3,0,0,10,40,4,1,20,10
1799.99,0,0,0,11,42,3.81818,1,20,10
1799.99,1,0,0,10,42,4.2,2,20,10
1799.99,2,0,0,10,40,4,1,20,9
1799.99,3,0,0,8,32,4,1,16,8
